Parish;Quarters;Price
Lisboa;1stq2018;2581
Lisboa;2ndQ2018;2753
Lisboa;3rdQ2018;2877
Lisboa;4thQ2018;3010
Lisboa;1stq2019;3111
Lisboa;2ndQ2019;3154
Lisboa;3rdQ2019;3205
Lisboa;4thQ2019;3247
Lisboa;1stq2020;3333
Lisboa;2ndQ2020;3376
Lisboa;3rdQ2020;3375
Lisboa;4thQ2020;3375
Lisboa;1stq2021;3296
Lisboa;2ndQ2021;3318
Lisboa;3rdQ2021;3427
Lisboa;4thQ2021;3427
Lisboa;1stq2022;3642
Lisboa;2ndQ2022;3704
Ajuda;1stq2018;2259
Ajuda;2ndQ2018;2564
Ajuda;3rdQ2018;2646
Ajuda;4thQ2018;2929
Ajuda;1stq2019;3085
Ajuda;2ndQ2019;3125
Ajuda;3rdQ2019;3295
Ajuda;4thQ2019;3205
Ajuda;1stq2020;3137
Ajuda;2ndQ2020;3200
Ajuda;3rdQ2020;3027
Ajuda;4thQ2020;3027
Ajuda;1stq2021;3129
Ajuda;2ndQ2021;3157
Ajuda;3rdQ2021;3163
Ajuda;4thQ2021;3163
Ajuda;1stq2022;3485
Ajuda;2ndQ2022;3584
Alcântara;1stq2018;2271
Alcântara;2ndQ2018;2413
Alcântara;3rdQ2018;2549
Alcântara;4thQ2018;2763
Alcântara;1stq2019;2951
Alcântara;2ndQ2019;2973
Alcântara;3rdQ2019;3010
Alcântara;4thQ2019;3127
Alcântara;1stq2020;3125
Alcântara;2ndQ2020;3164
Alcântara;3rdQ2020;3128
Alcântara;4thQ2020;3128
Alcântara;1stq2021;2924
Alcântara;2ndQ2021;2995
Alcântara;3rdQ2021;3092
Alcântara;4thQ2021;3092
Alcântara;1stq2022;3459
Alcântara;2ndQ2022;3497
Beato;1stq2018;1700
Beato;2ndQ2018;1913
Beato;3rdQ2018;2037
Beato;4thQ2018;2317
Beato;1stq2019;2238
Beato;2ndQ2019;2380
Beato;3rdQ2019;2382
Beato;4thQ2019;2385
Beato;1stq2020;2534
Beato;2ndQ2020;2461
Beato;3rdQ2020;2296
Beato;4thQ2020;2296
Beato;1stq2021;2480
Beato;2ndQ2021;2490
Beato;3rdQ2021;2678
Beato;4thQ2021;2678
Beato;1stq2022;2849
Beato;2ndQ2022;2878
Benfica;1stq2018;2094
Benfica;2ndQ2018;2205
